,ChemicalName,ChemicalID,CasRN,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
18222,1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole,C063159,130495-35-1,Parkinson Disease,MESH:D010300,,BDNF,6.13,,19276553
18223,1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole,C063159,130495-35-1,Parkinson Disease,MESH:D010300,,INS,6.13,,19276553
18367,"1,2,3,4-tetrahydro-1-(phenylmethyl)isoquinoline",C084924,,Parkinson Disease,MESH:D010300,marker/mechanism,,,,15114628
18368,"1,2,3,4-tetrahydro-1-(phenylmethyl)isoquinoline",C084924,,Parkinson Disease,MESH:D010300,,SNCA,4.7,,11535288|12151787|12732244|12885775|14535945|15099020|17131421|17690948|18322262|18353766|18841091|19915575|19915576|20664293|20711177|21245015|21892157|22043175|22110584|22166454|22185909|22355530|24509835|24833599|25064009|25106480|25149416|25475535|25631236
18555,"1,2,3,4-tetrahydroisoquinoline",C014843,,Parkinson Disease,MESH:D010300,,IL6,8.2,,21318773
18556,"1,2,3,4-tetrahydroisoquinoline",C014843,,Parkinson Disease,MESH:D010300,,MAOB,8.2,,21318773
18791,"1,2,3,5-tetrachlorobenzene",C030387,634-90-2,Parkinson Disease,MESH:D010300,,CYP2E1,4.46,,16510128
20050,12-(3-adamantan-1-ylureido)dodecanoic acid,C504897,,Parkinson Disease,MESH:D010300,,TNF,2.32,,21318773
20699,"1,2,3-trichloropropane",C009536,96-18-4,Parkinson Disease,MESH:D010300,,TNF,2.5,,21318773
21124,"1,2,4,5-tetrachlorobenzene",C018673,95-94-3,Parkinson Disease,MESH:D010300,,CYP2E1,3.92,,16510128
21314,"1,24-dihydroxyvitamin D2",C063087,124043-51-2,Parkinson Disease,MESH:D010300,,TNF,3.45,,21318773
21667,"1,2,4-trichlorobenzene",C009947,120-82-1,Parkinson Disease,MESH:D010300,,CYP2E1,11.23,,16510128
21668,"1,2,4-trichlorobenzene",C009947,120-82-1,Parkinson Disease,MESH:D010300,,HMOX1,11.23,,21318773
21669,"1,2,4-trichlorobenzene",C009947,120-82-1,Parkinson Disease,MESH:D010300,,NQO1,11.23,,17188257
21721,"1,2,4-trimethylcyclohexane",C069243,2234-75-5,Parkinson Disease,MESH:D010300,,NOS1,5.25,,26383258
24481,"1,2,5,6-dibenzanthracene",C026486,53-70-3,Parkinson Disease,MESH:D010300,,CP,10.22,,19159062|25758665
24482,"1,2,5,6-dibenzanthracene",C026486,53-70-3,Parkinson Disease,MESH:D010300,,CYP2D6,10.22,,14991823|15174030
24483,"1,2,5,6-dibenzanthracene",C026486,53-70-3,Parkinson Disease,MESH:D010300,,CYP2E1,10.22,,16510128
24484,"1,2,5,6-dibenzanthracene",C026486,53-70-3,Parkinson Disease,MESH:D010300,,GSTM1,10.22,,17449559
24485,"1,2,5,6-dibenzanthracene",C026486,53-70-3,Parkinson Disease,MESH:D010300,,GSTP1,10.22,,17190945|23721876
24486,"1,2,5,6-dibenzanthracene",C026486,53-70-3,Parkinson Disease,MESH:D010300,,HSPA1A,10.22,,15585408
24487,"1,2,5,6-dibenzanthracene",C026486,53-70-3,Parkinson Disease,MESH:D010300,,IGF1R,10.22,,19276553
24488,"1,2,5,6-dibenzanthracene",C026486,53-70-3,Parkinson Disease,MESH:D010300,,IGF2,10.22,,19276553
24489,"1,2,5,6-dibenzanthracene",C026486,53-70-3,Parkinson Disease,MESH:D010300,,MAPT,10.22,,19915575|20711177
24490,"1,2,5,6-dibenzanthracene",C026486,53-70-3,Parkinson Disease,MESH:D010300,,MTHFR,10.22,,30726997
24491,"1,2,5,6-dibenzanthracene",C026486,53-70-3,Parkinson Disease,MESH:D010300,,NQO1,10.22,,17188257
24492,"1,2,5,6-dibenzanthracene",C026486,53-70-3,Parkinson Disease,MESH:D010300,,SLC30A10,10.22,,25149416
24493,"1,2,5,6-dibenzanthracene",C026486,53-70-3,Parkinson Disease,MESH:D010300,,SNCA,10.22,,11535288|12151787|12732244|12885775|14535945|15099020|17131421|17690948|18322262|18353766|18841091|19915575|19915576|20664293|20711177|21245015|21892157|22043175|22110584|22166454|22185909|22355530|24509835|24833599|25064009|25106480|25149416|25475535|25631236
26754,"1,25-dihydroxyvitamin D",C097949,66772-14-3,Parkinson Disease,MESH:D010300,,IL6,2.59,,21318773
27337,12-acetoxyhawtriwaic acid lactone,C513234,,Parkinson Disease,MESH:D010300,,TNF,3.22,,21318773
27513,"1,2-benzisothiazoline-3-one",C015699,2634-33-5,Parkinson Disease,MESH:D010300,,NQO1,3.6,,17188257
28926,"1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid",C025603,85233-19-8,Parkinson Disease,MESH:D010300,,HMOX1,7.42,,21318773
28927,"1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid",C025603,85233-19-8,Parkinson Disease,MESH:D010300,,SNCA,7.42,,11535288|12151787|12732244|12885775|14535945|15099020|17131421|17690948|18322262|18353766|18841091|19915575|19915576|20664293|20711177|21245015|21892157|22043175|22110584|22166454|22185909|22355530|24509835|24833599|25064009|25106480|25149416|25475535|25631236
28928,"1,2-bis(2-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid",C025603,85233-19-8,Parkinson Disease,MESH:D010300,,TNF,7.42,,21318773
31523,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Parkinson Disease,MESH:D010300,,BDNF,22.38,,19276553
31524,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Parkinson Disease,MESH:D010300,,DNM1L,22.38,,28215578
31525,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Parkinson Disease,MESH:D010300,,EDN1,22.38,,19276553
31526,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Parkinson Disease,MESH:D010300,,GFAP,22.38,,19276553
31527,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Parkinson Disease,MESH:D010300,,HMOX1,22.38,,21318773
31528,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Parkinson Disease,MESH:D010300,,IL6,22.38,,21318773
31529,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Parkinson Disease,MESH:D010300,,MAP3K5,22.38,,21815648
31530,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Parkinson Disease,MESH:D010300,,NGF,22.38,,19276553
31531,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Parkinson Disease,MESH:D010300,,TH,22.38,,30236862
31532,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",C070379,139890-68-9,Parkinson Disease,MESH:D010300,,TNF,22.38,,21318773
32188,(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate),C461261,,Parkinson Disease,MESH:D010300,,DRD2,9.09,,8558425
32189,(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate),C461261,,Parkinson Disease,MESH:D010300,,SLC6A3,9.09,,16112329|16963468|19590691|9763484
33035,1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,C549500,,Parkinson Disease,MESH:D010300,,IL6,6.31,,21318773
33036,1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,C549500,,Parkinson Disease,MESH:D010300,,TNF,6.31,,21318773
34889,"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Parkinson Disease,MESH:D010300,,HMOX1,8.74,,21318773
34890,"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Parkinson Disease,MESH:D010300,,IL6,8.74,,21318773
34891,"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Parkinson Disease,MESH:D010300,,NQO1,8.74,,17188257
34892,"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Parkinson Disease,MESH:D010300,,PRKN,8.74,,12588799|15198987|15882845|16573651|17010972|19946270|22043175|22841634|23628791|24582596|25149416|25631236|28284907
34893,"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,Parkinson Disease,MESH:D010300,,TNF,8.74,,21318773
35523,12-dehydrogingerdione,C587370,,Parkinson Disease,MESH:D010300,,IL6,3.82,,21318773
35727,12-deoxyphorbolphenylacetate-20-acetate,C029705,54662-30-5,Parkinson Disease,MESH:D010300,,SOD2,3.89,,17188257|18353766|25279756
35863,"1,2-diacetylbenzene",C048792,704-00-7,Parkinson Disease,MESH:D010300,,DRD2,6.33,,8558425
35864,"1,2-diacetylbenzene",C048792,704-00-7,Parkinson Disease,MESH:D010300,,MAPT,6.33,,19915575|20711177
36252,"1,2-diamino-4-nitrobenzene",C012277,99-56-9,Parkinson Disease,MESH:D010300,,GSTM1,3.1,,17449559
36721,"1,2-dibromo-2,4-dicyanobutane",C039411,35691-65-7,Parkinson Disease,MESH:D010300,,HMOX1,3.13,,21318773
36848,"1,2-dibromo-3-chloropropane",C007318,96-12-8,Parkinson Disease,MESH:D010300,,GSTP1,3.46,,17190945|23721876
38783,"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Parkinson Disease,MESH:D010300,,AIF1,10.75,,19276553
38784,"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Parkinson Disease,MESH:D010300,,CP,10.75,,19159062|25758665
38785,"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Parkinson Disease,MESH:D010300,,GPX1,10.75,,15824117
38786,"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Parkinson Disease,MESH:D010300,,IL6,10.75,,21318773
38787,"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Parkinson Disease,MESH:D010300,,NQO1,10.75,,17188257
38788,"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Parkinson Disease,MESH:D010300,,SOD1,10.75,,15824117|16353238|21318773
38789,"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Parkinson Disease,MESH:D010300,,SOD2,10.75,,17188257|18353766|25279756
38790,"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,Parkinson Disease,MESH:D010300,,TNF,10.75,,21318773
39284,"1,2-dichloro-4-nitrobenzene",C028328,99-54-7,Parkinson Disease,MESH:D010300,,GSTA4,7.63,,16510128
39285,"1,2-dichloro-4-nitrobenzene",C028328,99-54-7,Parkinson Disease,MESH:D010300,,GSTM1,7.63,,17449559
39384,"1,2-dichloroethylene",C035384,540-59-0,Parkinson Disease,MESH:D010300,,CYP2E1,3.55,,16510128
39429,"1,2-dielaidoylphosphatidylethanolamine",C020888,76391-83-8,Parkinson Disease,MESH:D010300,,RPL6,4.56,,18353766
41726,"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Parkinson Disease,MESH:D010300,,EDN1,18.92,,19276553
41727,"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Parkinson Disease,MESH:D010300,,HMOX1,18.92,,21318773
41728,"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Parkinson Disease,MESH:D010300,,IL6,18.92,,21318773
41729,"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Parkinson Disease,MESH:D010300,,PRKN,18.92,,12588799|15198987|15882845|16573651|17010972|19946270|22043175|22841634|23628791|24582596|25149416|25631236|28284907
41730,"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Parkinson Disease,MESH:D010300,,SOD1,18.92,,15824117|16353238|21318773
41731,"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Parkinson Disease,MESH:D010300,,SOD2,18.92,,17188257|18353766|25279756
41732,"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",D014013,149-45-1,Parkinson Disease,MESH:D010300,,TNF,18.92,,21318773
42407,"1,2-dihydroxynaphthalene",C050642,574-00-5,Parkinson Disease,MESH:D010300,,HMOX1,3.44,,21318773
59013,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,AIF1,3.78,,19276553
59014,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,ALDH2,3.78,,24491970
59015,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,BAG5,3.78,,28348719
59016,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,BDNF,3.78,,19276553
59017,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,BST1,3.78,,19915576
59018,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,CP,3.78,,19159062|25758665
59019,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,CYP2E1,3.78,,16510128
59020,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,DDC,3.78,,11445284|2969953
59021,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,DRD2,3.78,,8558425
59022,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,EDN1,3.78,,19276553
59023,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,ENO2,3.78,,30236862
59024,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,FBP1,3.78,,18353766
59025,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,GAK,3.78,,20711177
59026,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,GPX1,3.78,,15824117
59027,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,GSTA4,3.78,,16510128
59028,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,GSTM1,3.78,,17449559
59029,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,GSTP1,3.78,,17190945|23721876
59030,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,HFE,3.78,,16824219
59031,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,HMOX1,3.78,,21318773
59032,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,HSPA9,3.78,,16565515
59033,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,IGF1R,3.78,,19276553
59034,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,IGF2R,3.78,,19276553
59035,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,IL6,3.78,,21318773
59036,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,INSR,3.78,,19276553
59037,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,LRRK2,3.78,,17388990|19915575|19915576|20205471|22043175|23017109|23472874|23628791|25149416|25475535|25631236
59038,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,MAG,3.78,,19276553
59039,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,MAOA,3.78,,17449559
59040,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,MAOB,3.78,,21318773
59041,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,MAP2,3.78,,30236862
59042,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,MAP3K5,3.78,,21815648
59043,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,MAPT,3.78,,19915575|20711177
59044,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,NECTIN2,3.78,,25475535
59045,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,NOS1,3.78,,26383258
59046,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,NQO1,3.78,,17188257
59047,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,PARK7,3.78,,15784737|17010972|20423725|20800516|22043175|22898350|23037695|23792957|25149416
59048,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,PPARGC1A,3.78,,30236862
59049,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,RPL14,3.78,,18353766
59050,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,RPL23A,3.78,,18353766
59051,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,RPS8,3.78,,18353766
59052,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,SLC6A3,3.78,,16112329|16963468|19590691|9763484
59053,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,SNCA,3.78,,11535288|12151787|12732244|12885775|14535945|15099020|17131421|17690948|18322262|18353766|18841091|19915575|19915576|20664293|20711177|21245015|21892157|22043175|22110584|22166454|22185909|22355530|24509835|24833599|25064009|25106480|25149416|25475535|25631236
59054,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,SOD1,3.78,,15824117|16353238|21318773
59055,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,SOD2,3.78,,17188257|18353766|25279756
59056,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,TALDO1,3.78,,23233872
59057,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,TNF,3.78,,21318773
59058,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,TRPM2,3.78,,27957685
59059,"1,2-Dimethylhydrazine",D019813,540-73-8,Parkinson Disease,MESH:D010300,,VPS35,3.78,,25149416
63389,"1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide",C512968,,Parkinson Disease,MESH:D010300,,SOD2,3.73,,17188257|18353766|25279756
63935,"1,2-dioleoyloxy-3-(trimethylammonium)propane",C070046,113669-21-9,Parkinson Disease,MESH:D010300,,SOD1,2.73,,15824117|16353238|21318773
64256,"1,2-Dipalmitoylphosphatidylcholine",D015060,2644-64-6,Parkinson Disease,MESH:D010300,,IL6,3.28,,21318773
64558,1-(2-(diphenylmethoxy)ethyl)-4-(3-phenyl-2-propenyl)piperazine,C039737,67469-57-2,Parkinson Disease,MESH:D010300,,SLC6A3,4.78,,16112329|16963468|19590691|9763484
64596,1-(2 (diphenylmethoxy)ethyl)-4-(3-phenylpropyl)piperazine,C044630,,Parkinson Disease,MESH:D010300,,SLC6A3,4.78,,16112329|16963468|19590691|9763484
64897,"1,2-distearoyllecithin",C010942,4539-70-2,Parkinson Disease,MESH:D010300,,SOD2,3.73,,17188257|18353766|25279756
